n_ID	n_LogType	s_MESSAGE
1	1	ดรอปมอนสเตอร์
2	2	ดรอปกล่องสมบัติ
3	3	เก็บ
4	4	กอบกู้
5	5	รางวัลรายวัน
6	6	หลอมซ้ำ
7	7	ถาดหลอมคริสตัล-หลอม
8	8	โอนย้ายคลัง
9	9	โอนย้ายร้านค้า
10	10	ใช้ไอเทม
11	11	ไวยากรณ์ภารกิจ
12	12	กิจกรรม
13	13	ด่าน
14	14	ผู้เล่นซื้อขาย
15	15	ซื้อขายร้านค้า
16	16	เงื่อนไขซื้อขายร้านค้า
17	17	ส่งด่วนตู้นิรภัย
18	18	หมักเหล้า
19	19	ระบบผสม
20	20	ระบบ Field Guide 
21	21	ระบบความสำเร็จ
22	22	กล่องสมบัติจากการจบดันเจี้ยน
23	23	ประเมิน
24	24	ซื้อขายตลาดมืด
25	25	เพิ่มสูตร
26	26	ถอดไอเทมฝังประดับ
27	27	แยก
28	28	กุญแจแห่งคำสาบาน
29	29	ตีบวก
30	30	โอนค่าตีบวก
31	31	ผลถาวร
32	32	ร้านค้า Gashapon
33	33	Gashapon
34	34	หักจากการสร้างกิล
35	35	ประเมินชิ้นส่วน Field Guide 
36	36	รวมไอเทม
37	37	หาสมบัติ
38	38	ขอพร
39	39	Finger-Guessing
40	40	(สร้างตัวละคร) เพิ่มไอเทมและสวมใส่ล้มเหลว
41	41	ผลึกฝังประดับ
42	42	เปิดไอเทมPandora
43	43	ผู้เล่นลบไอเทม
44	44	ลบไอเทมหมดอายุ
45	45	ไอเทมกำหนดเอง (for cheatcode TEST)
46	46	LUA เคลื่อนย้ายไอเทม
47	47	บักทึกการหักไอเทม เมื่อผู้เล่นใช้ไอเทม
48	48	จกหมายขวด
49	49	คลังกิลด์
50	50	ช่องหลอมผลึก-เปิดช่องหลอมผลึก
51	51	ช่องหลอมผลึก-เพิ่มส่วนบำรุง
52	52	ช่องหลอมผลึก-นำผลึกลงในช่อง
53	53	ช่องหลอมผลึก-ส่งเสริมช่องหลอมผลึก
54	54	ช่องหลอมผลึก-ฟื้นฟูระดับแสง
55	55	ใส่ไอเทมลงใน
56	56	รีเซ็ทภารกิจ
57	57	ลบไอเทมในการใช้หมักเหล้า
58	58	เรียนสูตรหมักเหล้า
59	59	ย้อมสีเครื่องสวมใส่
60	60	ย้อมสีเรือ
61	61	หล่อ
62	62	ไอเทมชั้นวางของ
63	63	รีเซ็ทระดับความพอใจสัตว์เลี้ยง
64	64	ใช้ไอเทมลดเลเวลตีบวก
65	65	เพิ่มพลัง
66	66	ส่งด่วนหมดอายุ (หมดอายุ)
67	67	ตั้งค่าอาวุธมือขวาให้สัตว์เลี้ยง
68	68	IMS ตอบกลับการแลกเปลี่ยน Gashapon ล้มเหลว
69	69	ร้านค้า (กระเป๋าร้านค้า)
70	70	วางขายตลาดมืด
71	71	นำไอเทมกลับจากตลาดมืด
72	72	คลังกิลด์SS การดำเนินการGSล้มเหลว คืนไอเทม
73	73	คลังกิลด์SS
74	74	ส่งด่วนกระเป๋าSS
75	75	ได้รับการแลกเปลี่ยนจากร้านค้า
76	76	ลบการแลกเปลี่ยนจากร้านค้า
77	77	เพิ่มเลเวลตีบวกสูงสุด
78	78	(สร้างตัวละคร) เพิ่มไอเทมและสวมใส่
79	79	รางวัลการซื้อของจากร้านค้ารายวัน
80	80	ย้ายไปคลังกิลด์
81	81	จดหมายจากเพื่อนทางจดหมาย
82	82	เพิ่มจำนวนสูงสุดของการแลกเปลี่ยน
83	83	Key ที่ใช้ในการออกจากดันเจี้ยน
84	84	เพิ่มคุณภาพลูกเรือ
85	85	แลกเปลี่ยนไอเทม
86	86	ได้รับ Field Guide จากการใช้ไอเทม
87	87	ผ่าน backend ที่ระบบให้
88	88	ฟื้นฟูค่าถดถอยของ Sword Soul
89	89	นำไอเทมฟื้นฟูสกิลออก
90	90	แผงลอยขายได้
91	91	การซื้อเข้าหรือได้รับแผงลอย
92	92	เพิ่มช่องฝังปรระดับ
93	93	เปลี่ยนรูปลักษณ์
94	94	เปลี่ยนอักษรหัวท้าย
95	95	ได้รับไอเทมชั้นวางของในชั้นวางของ
96	96	รวมไอเทมชั้นวางของใหม่
97	97	เปลี่ยนไอเทมชั้นวางของให้เป็นไอเทมที่สามารถรวมได้
