n_ID	s_Trigger_NAME	s_Trigger_TIP	s_Trigger_Fail_Message	s_Trigger_Success_Message
1	Human Cannon	ยิงไปที่ที่ท่านต้องการ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
2	Edmund Hidden Treasure	ซ่อนไม่ค่อยดีเท่าไหร่นะ...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนข้าจะติด...	
3	Seafood Cargo	กลิ่นคาวปลา...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
4	Poison Cactus	ใบนี้...มีพิษ...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ข้าบอกแล้วว่ามีพิษ...	
5	Hidden Treasure	ซ่อนไม่ค่อยดีเท่าไหร่นะ...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนข้าจะติด...	
6	Seaside Coconut Tree	ลำต้นช่วยดับกระหาย\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	มะพร้าวเหมือนจะยังไม่สุก...	
7	Viper Wicket	เข้าดันเจี้ยน Viper Wicket\n(แนะนำ: 2 คน เลเวล 25 ขึ้นไป)\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ปัจจุบันยังไม่สามารถเข้าได้	
8	New Species Cactus	ก้างแข็งไปหน่อย\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
9	Spice Pack	กลิ่นดอกไม้บางเบา...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
10	Prison Large Pot	ท่านจะต้องอยากรู้ว่าใส่อะไรลงไป...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังทำไม่เสร็จ...	ท่านได้กลิ่นหอม...
11	Fishing Rod	ใช้ในการตกปลา\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ปลาติดแล้ว!
12	Drift Wooden box	ไม่ต้องหวังว่าจะมีของดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ในถังมีหนังสือเปียกน้ำอยู่...
13	Firefly Glow Grass	จริงๆมันก็ไม่มีอะไรแตกต่าง\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
14	Paradise Flower	เส้นทางไปสวรรค์\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ข้าบอกแล้วว่ามีพิษ...	
15	Red Mushroom	กินแล้วอยากจะร้องรำทำเพลง...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ข้าบอกแล้วว่ามีพิษ...	
16	Big Glow grass	เดือนที่ 10\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ข้าบอกแล้วว่ามีพิษ...	
17	Elder Stone	เมื่อใช้สามารถวาร์ปในอากาษได้ แต่ไม่รับรองว่าจะไปได้ทั้งตัวนะ\n[วิธีใช้：ดับเบิ้ลคลิกซ้าย]	จะให้ดูอีกร้อยปีก็ดูไม่ออกหรอก ...	
18	Glyphed Crystal Plate	สามารถใช้ในการข้ามผ่าน แต่ไม่รับรองว่าจะไปทั้งตัวรึเปล่า\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
19	Scrapped Alert Weapon	อาจยังใช้งานได้อยู่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	...ก็ได้! เสียก็เสีย...	
20	Hive	มันอาจลุกขึ้นมาโจมตีก็ได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	คิดสิ!	ก็บอกแล้วว่าอย่าเพิ่งยุ่ง...
21	Sun Soldier Statue	มันขยับได้!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
22	Dowry Box	ไม่ใช่เจ้าหน้าที่ห้ามเปิด!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
23	Special Pineapple	กินลิ้นแล้วจะเจ็บ...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนจะยังไม่สุกนะ...	
24	Wildlife Lair	เคาะต้นไม้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกว่ามีพลังบางอย่างอยู่ด้านหลัง...
25	Suspicious Boat	ไม่มีอะไรน่าสงสัย...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีประโยชน์ใดๆ...	
26	Whirlwind Altar	มันจะดีดท่านกลับออกมา\n[วิธีใช้: เหยียบขึ้นไป] 		
27	Float Crystal	ไม่รู้เหมือนกันว่านั่นมันคืออะไร\n[วิธีใช้: ร่างกายสัมผัส] 		
28	Excited Miscanthus	โดนทำร้านแล้วจะรู้ว่ามันน่าตื่นเต้นแค่ไหน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ข้าบอกแล้วว่ามีพิษ...	
29	Poison Reed	กินเข้าไปก็พอ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีประโยชน์ใดๆ...	
30	Swamp White Mushrooms	วัตถุดิบในการทำสุกี้ทั่วไป\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังไม่หิว...	
31	Swamp Chest	ไม่มีอะไรซ่อนไว้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนข้าจะติด...	
32	Bones Heap	คนที่ตายจะมาอยู่ที่นี่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ให้มันพักผ่อนเถอะ!	
33	War Horn	เสียงของแตรจะดึงดูดความสนใจสัตว์ร้าย\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีประโยชน์ใดๆ...	
34	Chamber Spices Barrel	ห้ามเปิดม...เอ๋? ถูกเปิดแล้วนี่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
35	Thorn Flower	สามารถแก้พิษได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ข้าบอกแล้วว่ามีพิษ...	
36	Offer Altar	ไม่ให้เจ้าเป็นของบูชายันต์หรอก\n[วิธีใช้: เหยียบขึ้นไป] 		ท่านรู้สึกว่ามีพลังบางอย่างอยู่ด้านหลัง...
37	Stowaway Box	มันเปิดจริงๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
38	Fruit Barrel	ห้ามขโมยกิน!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
39	Bridge Tinderbox	ห้ามสูบบุหรี่!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
40	Black Braid Landmine	อาจมีระเบิดได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
41	First Door Protect City Cannon	ใส่ลูกปืนเสร็จแล้ว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
42	Admiral Red Beard Weapon Box	ห้ามสูบบุหรี่!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
43	Pirate Position	มันง่ายมากๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
44	Fly Altar	ให้โอกาสท่านบิน\n[วิธีใช้: เหยียบขึ้นไป] 		
45	Underground Mineral Vein	จะเป็นทองหรืออะไร ขุดไม่เจอหรอก\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
46	Alchemy Furnace	ห้ามแตะ ร้อน!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
47	Fortress Cannon	ใส่ลูกปืนเสร็จแล้ว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
48	Captive Cage	ปล่อยหมาออกมา!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
49	Cave Mushroom	เรียกอีกอย่างว่าเห็ดแอปริคอท\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังไม่หิว...	
50	Feed Cage	อาจมีเหตุการณ์พิเศษเกิดขึ้น\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	ท่านรู้สึกว่ามีพลังบางอย่างอยู่ด้านหลัง...
51	Magic Egg	เดือดปุดปุด...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่รู้ว่ามีประโยชน์อะไร	
52	Harem Potion Pot	หนูตาย...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังทำไม่เสร็จ...	ท่านรู้สึกว่ามีกลิ่นกำลังโชยมา...
53	Sailor Miscellaneous Pot	ท่านไม่อยากรู้หรอกว่าใส่อะไรลงไป...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังทำไม่เสร็จ...	ท่านได้กลิ่นหอม...
54	Private Gold	เปิดจริงๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
55	Smuggling Gold	เปิดจริงๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
56	Smuggling Container	เปิดจริงๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
57	Black Charm Demon Flower	มันจะทำให้คนเกิดภาพหลอน อย่ากินมัน!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
58	Old Tombstone	[อภัยให้ไม่ได้!] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
59	Voodoo Curse Doll	หุ่นไล่ก่าและแสงเพลิง\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่รู้ว่ามีประโยชน์อะไร?	
60	Tribe Camp Fire	ไม่ใช่เพียงสามารถปิ้งย่างได้เท่านั้น\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
61	Voodoo Tribe Totem	ตำนานกล่าวว่าTotemมีพลังแฝงอยู่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่รู้ว่ามีประโยชน์อะไร?	
62	Patriarch Chest	จะต้องซ่อนให้ดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนข้าจะติด...	
63	Suspicious Grave	[ถ้าเป็นไปได้ ช่วยปลุกข้าที...] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ให้มันพักผ่อนเถอะ!	
64	Local Herb	ใครรู้บ้างว่าผลลัพธ์มันจะออกมายังไง?\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
65	Army Cooking Pot	ใส่วัตถุดิบที่ถูกต้อง!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังทำไม่เสร็จ...	กลิ่นนี้...มัน?
66	Beach Wooden Case	ไม่ต้องหวังว่าจะมีของดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ขายไม่ได้ราคาหรอก	
67	Witches Potion Pan	จิ้งจก 1 ตัว...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังทำไม่เสร็จ...	ท่านรู้สึกว่ามีกลิ่นกำลังโชยมา...
68	Corpse Flower	ออกมาจากซากศพ..น่ากลัวมาก!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ให้มันพักผ่อนเถอะ!	
69	Ground Site Entrance	สิ่งก่อสร้างลึกลับ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
70	Sea Phantom Hunting Cage	อย่าปล่อยหมามาทางนี้!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	ท่านรู้สึกว่ามีพลังบางอย่างอยู่ด้านหลัง...
71	Ice Monster Statue	ฝีมือการใช้มีดไม่เลว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
72	Polar Flower	รู้สึกเย็นๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
73	Port Spice Barrel	ห้ามเปิด...เอ๋? มันเปิดแล้วนี่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
74	Winter Flower	รู้สึกเย็นๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
75	Hunter Miscellaneous Pot	กินสุกี้ในหน้าหนาวมันเยี่ยมจริงๆเลย!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังทำไม่เสร็จ...	ซุปปลาทำเสร็จแล้ว!
76	Colorful Coral Reef	ไม่รู้ว่ามันคือของประเภทไหน?\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
77	Agreed Pillar	บนโขดหินมีสิ่งของแวววาวอยู่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
78	Ammunition Box	ใส่อาวุธไว้ ต้องใช้กุญแจในการเปิด\n(วิธีใช้: ดับเบิ้ลคลิกซ้าย)	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
79	Food Bucket	ห้ามขโมยกิน!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
